timestamp;sensor;temp;umid;tsr;timestamp_10min
2004-02-29 00:00:53.000;20;18.32;42.51;0.92;2004-02-29 00:00:00.000
2004-02-29 00:29:48.000;20;18.14;42.58;0.92;2004-02-29 00:30:00.000
2004-02-29 01:00:23.000;20;17.79;43.11;0.92;2004-02-29 01:00:00.000
2004-02-29 01:30:22.000;20;17.52;43.68;0.92;2004-02-29 01:30:00.000
2004-02-29 01:59:48.000;20;17.30;44.28;0.92;2004-02-29 02:00:00.000
2004-02-29 02:29:48.000;20;17.00;44.97;0.92;2004-02-29 02:30:00.000
2004-02-29 02:59:52.000;20;16.77;45.67;0.92;2004-02-29 03:00:00.000
2004-02-29 03:29:50.000;20;16.66;46.06;0.92;2004-02-29 03:30:00.000
2004-02-29 03:59:54.000;20;16.48;46.75;0.92;2004-02-29 04:00:00.000
2004-02-29 04:29:55.000;20;16.32;47.34;0.92;2004-02-29 04:30:00.000
2004-02-29 04:59:49.000;20;16.20;47.83;0.92;2004-02-29 05:00:00.000
2004-02-29 05:29:49.000;20;15.99;48.51;0.92;2004-02-29 05:30:00.000
2004-02-29 05:59:55.000;20;15.77;49.16;0.92;2004-02-29 06:00:00.000
2004-02-29 06:29:49.000;20;15.72;49.41;1.84;2004-02-29 06:30:00.000
2004-02-29 06:59:49.000;20;15.71;49.64;57.04;2004-02-29 07:00:00.000
2004-02-29 07:29:50.000;20;15.91;49.22;309.12;2004-02-29 07:30:00.000
2004-02-29 07:59:49.000;20;16.67;47.27;1847.36;2004-02-29 08:00:00.000
2004-02-29 08:30:21.000;20;21.22;36.95;1847.36;2004-02-29 08:30:00.000
2004-02-29 08:59:52.000;20;22.43;35.29;1847.36;2004-02-29 09:00:00.000
2004-02-29 09:29:54.000;20;22.39;35.64;1435.2;2004-02-29 09:30:00.000
2004-02-29 09:59:57.000;20;21.26;38.25;1023.04;2004-02-29 10:00:00.000
2004-02-29 10:29:49.000;20;21.74;37.64;1140.8;2004-02-29 10:30:00.000
2004-02-29 10:59:50.000;20;21.89;37.74;1081.92;2004-02-29 11:00:00.000
2004-02-29 11:29:50.000;20;21.91;37.98;1081.92;2004-02-29 11:30:00.000
2004-02-29 11:59:58.000;20;21.99;38.15;1023.04;2004-02-29 12:00:00.000
2004-02-29 12:29:56.000;20;21.94;38.76;861.12;2004-02-29 12:30:00.000
2004-02-29 12:59:54.000;20;21.83;39.21;1023.04;2004-02-29 13:00:00.000
2004-02-29 13:29:56.000;20;21.92;39.14;920;2004-02-29 13:30:00.000
2004-02-29 13:59:56.000;20;21.97;39.28;772.8;2004-02-29 14:00:00.000
2004-02-29 14:29:49.000;20;21.60;40.22;1023.04;2004-02-29 14:30:00.000
2004-02-29 14:59:55.000;20;21.59;40.56;537.28;2004-02-29 15:00:00.000
2004-02-29 15:29:53.000;20;21.35;41.17;397.44;2004-02-29 15:30:00.000
2004-02-29 15:59:49.000;20;20.67;41.88;323.84;2004-02-29 16:00:00.000
2004-02-29 16:29:20.000;20;20.38;42.18;202.4;2004-02-29 16:30:00.000
2004-02-29 16:59:57.000;20;20.13;42.38;165.6;2004-02-29 17:00:00.000
2004-02-29 17:30:20.000;20;19.91;42.58;79.12;2004-02-29 17:30:00.000
2004-02-29 17:59:50.000;20;19.59;43.05;24.84;2004-02-29 18:00:00.000
2004-02-29 18:30:06.000;20;19.22;43.45;15.64;2004-02-29 18:30:00.000
2004-02-29 18:59:50.000;20;19.11;43.65;15.64;2004-02-29 19:00:00.000
2004-02-29 19:29:59.000;20;18.99;43.75;15.64;2004-02-29 19:30:00.000
2004-02-29 19:59:57.000;20;18.93;43.78;15.64;2004-02-29 20:00:00.000
2004-02-29 20:30:22.000;20;18.82;43.91;15.64;2004-02-29 20:30:00.000
2004-02-29 20:59:58.000;20;18.72;44.08;15.64;2004-02-29 21:00:00.000
2004-02-29 21:29:54.000;20;18.69;44.15;15.64;2004-02-29 21:30:00.000
2004-02-29 22:00:20.000;20;18.63;44.24;15.64;2004-02-29 22:00:00.000
2004-02-29 22:30:23.000;20;18.57;44.34;15.64;2004-02-29 22:30:00.000
2004-02-29 22:59:50.000;20;18.48;44.51;15.64;2004-02-29 23:00:00.000
2004-02-29 23:29:51.000;20;18.39;44.71;15.64;2004-02-29 23:30:00.000
2004-02-29 23:59:55.000;20;18.31;44.97;15.64;2004-03-01 00:00:00.000
2004-03-01 00:29:58.000;20;18.08;45.73;15.64;2004-03-01 00:30:00.000
2004-03-01 00:59:54.000;20;17.81;46.36;15.64;2004-03-01 01:00:00.000
2004-03-01 01:29:51.000;20;17.61;46.95;15.64;2004-03-01 01:30:00.000
2004-03-01 01:59:50.000;20;17.54;47.21;15.64;2004-03-01 02:00:00.000
2004-03-01 02:29:53.000;20;17.46;47.40;15.64;2004-03-01 02:30:00.000
2004-03-01 02:59:32.000;20;17.31;47.47;15.64;2004-03-01 03:00:00.000
2004-03-01 03:29:50.000;20;17.18;47.76;14.72;2004-03-01 03:30:00.000
2004-03-01 04:00:02.000;20;17.02;48.09;14.72;2004-03-01 04:00:00.000
2004-03-01 04:29:56.000;20;16.91;48.28;14.72;2004-03-01 04:30:00.000
2004-03-01 04:59:52.000;20;16.70;48.70;14.72;2004-03-01 05:00:00.000
2004-03-01 05:29:32.000;20;16.48;49.54;14.72;2004-03-01 05:30:00.000
2004-03-01 06:00:07.000;20;16.24;50.45;13.8;2004-03-01 06:00:00.000
2004-03-01 06:29:53.000;20;16.03;51.15;15.64;2004-03-01 06:30:00.000
2004-03-01 07:00:23.000;20;15.80;51.69;48.76;2004-03-01 07:00:00.000
2004-03-01 07:31:02.000;20;22.95;37.02;224.48;2004-03-01 07:30:00.000
2004-03-01 07:59:57.000;20;23.04;36.61;136.16;2004-03-01 08:00:00.000
2004-03-01 08:29:51.000;20;23.55;35.99;264.96;2004-03-01 08:30:00.000
2004-03-01 09:00:04.000;20;23.56;36.06;136.16;2004-03-01 09:00:00.000
2004-03-01 09:30:03.000;20;24.02;35.85;202.4;2004-03-01 09:30:00.000
2004-03-01 09:59:54.000;20;24.45;35.78;309.12;2004-03-01 10:00:00.000
2004-03-01 10:29:59.000;20;24.85;35.43;309.12;2004-03-01 10:30:00.000
